Front	Back	Classe	Tags
eu	mi	pron	tapi pron
tu/você	tu	pron	tapi pron
ele/ela	si	pron	tapi pron
nós	nupi	pron	tapi pron
vós	mupi	pron	tapi pron
eles/elas	kupi	pron	tapi pron
de/posse	ni	part	tapi part
agente passivo	mu	part	tapi part
negação	pa	part	tapi part
pergunta (fim de frase)	ku	part	tapi part
vocativo (pré-nominal)	na	part	tapi part
comparativo (mais que)	sa	part	tapi part
superlativo (o mais)	sami	part	tapi part
recíproco (pré-verbal)	tatu	part	tapi part
relativo (que/qual)	ta	part	tapi part
e	i	conj	tapi conj
ou	a	conj	tapi conj
se (condicional)	asi	conj	tapi conj
porque	miku	conj	tapi conj
quando (subord.)	upa	conj	tapi conj
enquanto	pamu	conj	tapi conj
este/esta	mata	dem	tapi dem
esse/essa	mati	dem	tapi dem
aquele/aquela	maku	dem	tapi dem
aqui	muta	dem	tapi dem
aí	muki	dem	tapi dem
ali	muna	dem	tapi dem
quem	nima	int	tapi int
o que	nipi	int	tapi int
onde	nika	int	tapi int
quando	niku	int	tapi int
quanto	napa	int	tapi int
como (composto)	nima-pa	int	tapi int
por que (composto)	nima-tu	int	tapi int
ser/estar (cópula)	ipa	verbo	tapi verbo
um	tani	num	tapi num
dois	pi	num	tapi num
três	ti	num	tapi num
quatro	pu	num	tapi num
cinco	ka	num	tapi num
seis	ma	num	tapi num
sete	nuku	num	tapi num
oito	nu	num	tapi num
nove	pina	num	tapi num
dez	nuna	num	tapi num
cem	pakuna	num	tapi num
mil	tikuna	num	tapi num
todo/tudo	kupa	quant	tapi quant
muitos	matu	quant	tapi quant
alguns	muti	quant	tapi quant
outro	tuma	pron	tapi pron
pessoa (humano)	mati-mati	subst	tapi subst
homem (macho)	papu	subst	tapi subst
mulher	mumi	subst	tapi subst
pai	papi	subst	tapi subst
mãe	mama	subst	tapi subst
filho/cria	kuni	subst	tapi subst
cônjuge	tupa	subst	tapi subst
pele	namu	subst	tapi subst
sangue	kunu	subst	tapi subst
osso	tipu	subst	tapi subst
gordura	pupa	subst	tapi subst
ovo	kaki	subst	tapi subst
chifre	kuki	subst	tapi subst
cauda	punu	subst	tapi subst
pluma/pena	tuku	subst	tapi subst
cabelo	tutu	subst	tapi subst
cabeça	miti	subst	tapi subst
orelha	muni	subst	tapi subst
olho	pati	subst	tapi subst
nariz	nina	subst	tapi subst
boca	munu	subst	tapi subst
dente	kipa	subst	tapi subst
língua (anatômica)	pipa	subst	tapi subst
unha/garra	kiti	subst	tapi subst
pé	puta	subst	tapi subst
joelho	tumi	subst	tapi subst
mão	kanu	subst	tapi subst
barriga	tuna	subst	tapi subst
pescoço	miki	subst	tapi subst
seio	muma	subst	tapi subst
coração	pumu	subst	tapi subst
fígado	tuni	subst	tapi subst
corpo	puti	subst	tapi subst
animal	natu	subst	tapi subst
peixe	tuka	subst	tapi subst
ave	piti	subst	tapi subst
cachorro	kani	subst	tapi subst
cobra	kumi	subst	tapi subst
verme	tini	subst	tapi subst
árvore	tipa	subst	tapi subst
floresta	puma	subst	tapi subst
graveto	mutu	subst	tapi subst
fruta	tati	subst	tapi subst
semente	kiki	subst	tapi subst
folha	papa	subst	tapi subst
raiz	naku	subst	tapi subst
casca	minu	subst	tapi subst
flor	kipi	subst	tapi subst
grama	kapu	subst	tapi subst
corda	kuka	subst	tapi subst
carne	manu	subst	tapi subst
casa	kama	subst	tapi subst
terra/chão	tana	subst	tapi subst
água	mina	subst	tapi subst
fogo	puka	subst	tapi subst
ar/vento	nita	subst	tapi subst
sol	tunu	subst	tapi subst
lua	pinu	subst	tapi subst
estrela	kati	subst	tapi subst
dia	nupa	subst	tapi subst
noite (composto)	muta-pi	subst	tapi subst
pedra	mapu	subst	tapi subst
caminho	nani	subst	tapi subst
palavra/voz	tama	subst	tapi subst
nome	nimi	subst	tapi subst
tempo	kapa	subst	tapi subst
mundo	nuki	subst	tapi subst
luz	pana	subst	tapi subst
sombra/escuro	tiku	subst	tapi subst
verdade (composto)	muta-ka	subst	tapi subst
idioma Tapi (nome próprio)	tapi	subst	tapi subst
rio	tupi	subst	tapi subst
mar	sapu	subst	tapi subst
chuva	masu	subst	tapi subst
neve	musi	subst	tapi subst
nuvem	satu	subst	tapi subst
montanha	sani	subst	tapi subst
sal	saka	subst	tapi subst
areia	puki	subst	tapi subst
cinza	kasu	subst	tapi subst
fumaça	sapi	subst	tapi subst
solo	musa	subst	tapi subst
canção (composto)	tama-na	subst	tapi subst
comida	kasi	subst	tapi subst
manhã (composto: sol-vir)	tunu-una	subst	tapi subst
tarde (composto: sol-ir)	tunu-ina	subst	tapi subst
agora (composto: aqui-tempo)	muta-kapa	subst	tapi subst
hoje (composto: este-dia)	mata-nupa	subst	tapi subst
ontem-base	nupa-maku	subst	tapi subst
ontem (composto + PASS)	nupa-maku-ta	subst	tapi subst
amanhã (composto + FUT)	nupa-maku-ka	subst	tapi subst
sempre (composto: todo-tempo)	kupa-kapa	subst	tapi subst
felicidade (composto)	pumu-tina	subst	tapi subst
tristeza (composto)	pumu-muka	subst	tapi subst
raiva (composto)	pumu-puka	subst	tapi subst
amar	ama	verbo	tapi verbo
ir	ina	verbo	tapi verbo
vir	una	verbo	tapi verbo
comer	mani	verbo	tapi verbo
beber	piku	verbo	tapi verbo
dormir	napi	verbo	tapi verbo
ver	tika	verbo	tapi verbo
ouvir	sina	verbo	tapi verbo
falar/dizer	taka	verbo	tapi verbo
saber	kima	verbo	tapi verbo
fazer	patu	verbo	tapi verbo
ter	nuta	verbo	tapi verbo
dar	puna	verbo	tapi verbo
pegar/receber	kuta	verbo	tapi verbo
viver	mipa	verbo	tapi verbo
morrer	kina	verbo	tapi verbo
pensar	pita	verbo	tapi verbo
sonhar	kapi	verbo	tapi verbo
poder (modal)	puni	verbo	tapi verbo
dever (modal)	mika	verbo	tapi verbo
querer (modal)	naki	verbo	tapi verbo
morder	kamu	verbo	tapi verbo
chupar	suma	verbo	tapi verbo
cuspir	sipu	verbo	tapi verbo
vomitar	sapa	verbo	tapi verbo
soprar	saki	verbo	tapi verbo
respirar	nasi	verbo	tapi verbo
rir	tasi	verbo	tapi verbo
chorar	sumi	verbo	tapi verbo
cantar	nasu	verbo	tapi verbo
dançar	tasu	verbo	tapi verbo
nadar	saku	verbo	tapi verbo
voar	siti	verbo	tapi verbo
andar/caminhar	sipa	verbo	tapi verbo
chegar	supa	verbo	tapi verbo
deitar	supi	verbo	tapi verbo
sentar	supu	verbo	tapi verbo
ficar de pé	sutu	verbo	tapi verbo
voltar	kuti	verbo	tapi verbo
dar à luz	sasu	verbo	tapi verbo
matar	sika	verbo	tapi verbo
lutar	siku	verbo	tapi verbo
caçar	sipi	verbo	tapi verbo
cortar	sasi	verbo	tapi verbo
dividir	muku	verbo	tapi verbo
furar	mupu	verbo	tapi verbo
cavar	mupa	verbo	tapi verbo
queimar	katu	verbo	tapi verbo
lavar	nasa	verbo	tapi verbo
limpar	naka	verbo	tapi verbo
temer	nipa	verbo	tapi verbo
tornar-se	ipi	verbo	tapi verbo
contar (números)	kupu	verbo	tapi verbo
puxar	musu	verbo	tapi verbo
empurrar	nuti	verbo	tapi verbo
jogar/brincar	tupu	verbo	tapi verbo
bom	tina	adj	tapi adj
mau	muka	adj	tapi adj
grande	tipi	adj	tapi adj
pequeno	puku	adj	tapi adj
novo	kini	adj	tapi adj
velho	mapa	adj	tapi adj
belo	panu	adj	tapi adj
feio	tapu	adj	tapi adj
quente	kuma	adj	tapi adj
frio	pini	adj	tapi adj
longo	pami	adj	tapi adj
curto	mapi	adj	tapi adj
largo	pumi	adj	tapi adj
estreito	putu	adj	tapi adj
grosso	siki	adj	tapi adj
fino	pisu	adj	tapi adj
pesado	sati	adj	tapi adj
leve	tuki	adj	tapi adj
redondo	mana	adj	tapi adj
seco	kumu	adj	tapi adj
molhado	nama	adj	tapi adj
cheio	nutu	adj	tapi adj
correto	nuni	adj	tapi adj
errado	mami	adj	tapi adj
longe	kana	adj	tapi adj
perto	mimi	adj	tapi adj
direito (lado)	samu	adj	tapi adj
esquerdo	sumu	adj	tapi adj
preto (cor)	ninu	adj	tapi adj
branco	tita	adj	tapi adj
vermelho	pisi	adj	tapi adj
